dataset,classifier_label,scaler_label,accuracy,f1,auc,k_value
Breast Cancer Wisconsin,Decision Tree,None (Raw),0.9104,0.9299,0.9,
Breast Cancer Wisconsin,Random Forest,None (Raw),0.9561,0.9651,0.9885,
Breast Cancer Wisconsin,SVM (Linear),Robust Scaling (IQR),0.9754,0.9806,0.9943,
Breast Cancer Wisconsin,SVM (RBF),Z-Score Standardization,0.9772,0.982,0.9945,
Breast Cancer Wisconsin,k-NN (Cosine),Z-Score Standardization,0.9684,0.975,0.9904,9.0
Breast Cancer Wisconsin,k-NN (Euclidean),Min-Max Normalization,0.9701,0.9767,0.9906,14.0
Breast Cancer Wisconsin,k-NN (Manhattan),Z-Score Standardization,0.9684,0.9754,0.9917,9.0
Digits (Even vs Odd),Decision Tree,Z-Score Standardization,0.9299,0.9296,0.9299,
Digits (Even vs Odd),Random Forest,Z-Score Standardization,0.9811,0.9808,0.9991,
Digits (Even vs Odd),SVM (Linear),Min-Max Normalization,0.9154,0.9152,0.9725,
Digits (Even vs Odd),SVM (RBF),None (Raw),0.985,0.9848,0.9995,
Digits (Even vs Odd),k-NN (Cosine),Min-Max Normalization,0.9928,0.9927,0.9928,1.0
Digits (Even vs Odd),k-NN (Euclidean),None (Raw),0.9933,0.9932,0.9933,1.0
Digits (Even vs Odd),k-NN (Manhattan),None (Raw),0.9894,0.9893,0.9894,1.0
Pima Indians Diabetes,Decision Tree,Z-Score Standardization,0.7213,0.5926,0.6873,
Pima Indians Diabetes,Random Forest,Min-Max Normalization,0.7577,0.6261,0.8229,
Pima Indians Diabetes,SVM (Linear),Robust Scaling (IQR),0.7747,0.6297,0.8265,
Pima Indians Diabetes,SVM (RBF),Min-Max Normalization,0.7643,0.6121,0.8289,
Pima Indians Diabetes,k-NN (Cosine),Z-Score Standardization,0.7695,0.6238,0.8242,30.0
Pima Indians Diabetes,k-NN (Euclidean),Z-Score Standardization,0.7682,0.6384,0.8196,17.0
Pima Indians Diabetes,k-NN (Manhattan),Z-Score Standardization,0.7708,0.6118,0.8241,26.0
Wine (Class 0 vs rest),Decision Tree,Min-Max Normalization,0.9381,0.9077,0.9316,
Wine (Class 0 vs rest),Random Forest,None (Raw),0.9773,0.9643,1.0,
Wine (Class 0 vs rest),SVM (Linear),Robust Scaling (IQR),0.9887,0.9833,1.0,
Wine (Class 0 vs rest),SVM (RBF),Min-Max Normalization,0.9944,0.9913,1.0,
Wine (Class 0 vs rest),k-NN (Cosine),Z-Score Standardization,0.9889,0.9833,0.999,8.0
Wine (Class 0 vs rest),k-NN (Euclidean),Min-Max Normalization,0.9889,0.984,0.9993,6.0
Wine (Class 0 vs rest),k-NN (Manhattan),Min-Max Normalization,0.9944,0.992,0.9958,2.0
